id,titre,description_courte,description_longue,duree_moyenne,effort_cognitif,psychologues,symptomes_associes
1,Les cercles de contrôle,Identifier ce qui dépend de soi,"Cet exercice propose de dessiner trois cercles concentriques : au centre, tu notes tout ce qui est directement sous ton contrôle (tes actions, tes choix immédiats), dans le cercle du milieu ce que tu peux influencer (les relations, certains projets), et dans le cercle externe ce qui t’échappe totalement (le passé, la météo, les décisions des autres). L’objectif est de te recentrer sur les actions concrètes que tu peux poser aujourd’hui, de réduire la rumination sur ce qui ne dépend pas de toi et de renforcer ton sentiment de maîtrise.",10,3,Dr. Élodie Carrière; Dr. Sofia Benali,1;2
2,Respiration diaphragmatique,Se relaxer par une respiration consciente,"Tu t’installes assis ou allongé, une main sur le ventre, puis tu inspires lentement par le nez en laissant ton abdomen se gonfler, avant d’expirer doucement par la bouche. Tu répètes ces cycles pendant quelques minutes en gardant ton attention sur le mouvement de la respiration. Cet exercice sert à diminuer rapidement la tension corporelle, à calmer le système nerveux et à créer une courte pause avant de réagir sous le coup du stress.",5,1,Dr. Maxime Rolland,3
3,Journal de pensées automatiques,Repérer une pensée spontanée et la questionner,"À partir d’une situation précise vécue dans la journée, tu notes ce qui s’est passé, puis la pensée principale qui t’est venue automatiquement (par exemple : ‘Je suis nul’). Tu ajoutes les émotions ressenties et leur intensité, puis tu peux écrire brièvement des éléments qui confirment ou infirment cette pensée. L’objectif est de prendre conscience de ces pensées rapides qui influencent ton humeur et de commencer à les observer avec plus de recul.",10,2,Dr. Élodie Carrière,1;4
4,Mini restructuration cognitive,Reformuler une pensée négative,"Tu choisis une pensée négative marquante, puis tu te demandes : ‘Y a-t-il une autre façon de voir la situation ?’, ‘Qu’est-ce que je dirais à un ami dans la même situation ?’. Tu rédiges ensuite une version plus équilibrée de la pensée, qui prend en compte à la fois les difficultés et les ressources disponibles. Cet exercice sert à diminuer l’impact des croyances extrêmes et à développer un mode de pensée plus nuancé.",10,3,Dr. Sofia Benali,1;5
5,Observation émotionnelle express,Nommer les émotions du moment,"Pendant quelques minutes, tu te poses et tu identifies ce que tu ressens ici et maintenant en utilisant un vocabulaire émotionnel précis (par exemple : colère, tristesse, joie, peur, honte). Tu peux noter également où tu le ressens dans ton corps et à quelle intensité. Cet exercice aide à mieux reconnaître tes états internes au lieu de les fuir ou de les confondre, ce qui constitue une base importante pour réguler tes émotions.",5,1,Dr. Maxime Rolland,2;3
6,Cartographie rapide des valeurs,Clarifier ses valeurs clés,"Tu listes d’abord plusieurs valeurs importantes pour toi (par exemple : liberté, famille, créativité, santé), puis tu en sélectionnes trois prioritaires en ce moment. Pour chacune, tu notes une petite action concrète que tu pourrais réaliser dans la semaine pour la mettre davantage en pratique. L’objectif est de reconnecter tes choix de tous les jours à ce qui compte profondément pour toi et de retrouver du sens dans tes actions.",10,2,Dr. Élodie Carrière; Dr. Maxime Rolland,6
7,Expression de gratitude éclair,Reconnaître les éléments positifs du quotidien,"En quelques minutes, tu identifies trois choses positives qui se sont produites aujourd’hui, même si elles paraissent petites (un message reçu, un bon repas, un moment calme). Pour chacune, tu écris pourquoi elle a été agréable ou importante pour toi. Cet exercice vise à entraîner ton attention à remarquer aussi les aspects satisfaisants de ta journée, ce qui contribue à équilibrer une tendance à ne voir que le négatif.",5,1,Dr. Sofia Benali,2;7
8,Auto-compassion instantanée,Être bienveillant envers soi-même,"Tu repères une situation récente où tu as été dur avec toi-même, puis tu formules une ou deux phrases que tu pourrais dire à un ami dans la même situation. Tu reformules ensuite ces phrases à la première personne, comme si tu te les adressais directement. Cet exercice sert à diminuer l’auto-critique excessive et à développer une attitude intérieure plus chaleureuse et soutenante.",5,1,Dr. Élodie Carrière,3;7
9,Défusion cognitive rapide,Se détacher d’une pensée difficile,"Quand une pensée envahissante apparaît, tu la formules clairement puis tu l’imagines écrite sur un nuage, un panneau ou un sous-titre de film qui défile. Tu observes mentalement cette pensée passer sans chercher à la chasser ni à la croire. L’objectif est d’apprendre à voir les pensées comme des événements mentaux et non comme des vérités absolues, ce qui diminue leur pouvoir sur ton humeur.",7,2,Dr. Maxime Rolland,1;5
10,Mini-plan d’action SMART,Définir un objectif concret immédiat,"Tu pars d’un domaine que tu souhaites améliorer (travail, études, santé, relations) et tu définis un très petit objectif selon les critères SMART : spécifique, mesurable, atteignable, réaliste et temporel. Tu écris ensuite la prochaine action concrète à réaliser dans la journée ou la semaine. Cet exercice sert à passer de la réflexion à l’action et à renforcer le sentiment d’efficacité personnelle.",10,2,Dr. Élodie Carrière; Dr. Sofia Benali,6;8
11,Check-in émotionnel,Observer son état interne,"Plusieurs fois dans la journée, tu t’accordes une courte pause pour te demander : ‘Qu’est-ce que je pense ? Qu’est-ce que je ressens ? Qu’est-ce que mon corps me dit ?’. Tu peux noter en quelques mots les réponses dans ton téléphone ou ton carnet. Cet exercice a pour but d’augmenter ta conscience de toi-même afin de repérer plus tôt les signaux de surcharge ou d’anxiété.",5,1,Dr. Maxime Rolland,2;3
12,Analyse coûts/bénéfices simplifiée,Peser l’utilité d’une habitude,"Tu choisis un comportement ou une habitude (par exemple : remettre les tâches à plus tard, vérifier ton téléphone en permanence) et tu listes rapidement les avantages et les inconvénients à court et à long terme. Ensuite, tu réfléchis à ce que tu veux vraiment favoriser. Cet exercice aide à prendre des décisions plus alignées avec tes objectifs en rendant visibles les conséquences réelles de tes choix.",10,2,Dr. Élodie Carrière,5;6
13,S’ancrer dans le présent,Revenir ici et maintenant,"Tu te concentres successivement sur ce que tu vois, ce que tu entends et ce que tu peux toucher autour de toi, en décrivant mentalement quelques détails pour chaque sens. Tu ramènes ton attention à ces perceptions dès que ton esprit repart dans les pensées. Cet exercice sert à réduire la dérive dans les ruminations ou les anticipations et à stabiliser ton attention dans le moment présent.",5,1,Dr. Sofia Benali,3;7
